Id,StepTotal,Calories,1=asleep,2=restless,3=awake,0=sedentary,1=light,2=moderate,3=veryactive,Lowsteps,Medsteps,Highsteps
1503960366,373.0,81.0,499.0,36.0,7.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,160.0,61.0,591.0,32.0,2.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,151.0,59.0,694.0,33.0,6.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,0.0,47.0,736.0,38.0,6.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,0.0,48.0,680.0,52.0,3.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,0.0,48.0,662.0,49.0,2.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,0.0,48.0,386.0,48.0,4.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,0.0,47.0,208.0,48.0,0.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,250.0,68.0,118.0,25.0,10.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,1864.0,141.0,105.0,5.0,0.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,676.0,99.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,30,3,0
1503960366,360.0,76.0,27.0,7.0,1.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,253.0,73.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1,0
1503960366,221.0,66.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,1166.0,110.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,2063.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,344.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,489.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1,0
1503960366,1386.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,558.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1,0
1503960366,1733.0,132.0,39.0,11.0,4.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,684.0,100.0,106.0,13.0,1.0,0.0,0.0,0.0,0.0,33,0,0
1503960366,89.0,65.0,217.0,17.0,2.0,0.0,0.0,0.0,0.0,33,0,0
